对象,来源类型,数据行数,有基准拼音行数,微软可编码行数,小鹤可编码行数,总权重,拼音权重覆盖率,微软权重覆盖率,小鹤权重覆盖率,全拼平均击键,全拼微软同口径平均击键,全拼小鹤同口径平均击键,全拼最短读音平均击键,全拼最长读音平均击键,微软双拼平均击键,小鹤双拼平均击键,全拼每字选词一次,微软双拼每字选词一次,小鹤双拼每字选词一次,微软相对全拼节省,小鹤相对全拼节省
junda,frequency_table,9933,9901,9894,9894,193504018,0.9999990284439468,0.9999988992476632,0.9999988992476632,2.9797186494964985,2.979718745065504,2.979718745065504,2.963874668527233,3.0468964206031477,2.0,2.0,3.9797186494964985,3.0,3.0,0.979718745065504,0.979718745065504
三体,novel_group,8917,8887,8887,8887,768132,0.9998607010253446,0.9998607010253446,0.9998607010253446,2.9993086162559814,2.9993086162559814,2.9993086162559814,2.978905634582208,3.0799713550991177,2.0,2.0,3.9993086162559814,3.0,3.0,0.9993086162559814,0.9993086162559814
最后一个小说,novel_group,4174,4161,4161,4161,1613101,0.9999807823564675,0.9999807823564675,0.9999807823564675,2.8878728139510375,2.8878728139510375,2.8878728139510375,2.8691141735944505,2.967364714488522,2.0,2.0,3.8878728139510375,3.0,3.0,0.8878728139510375,0.8878728139510375
三体 I：地球往事,novel_book,2848,2846,2846,2846,163772,0.9999877879002516,0.9999877879002516,0.9999877879002516,2.9935824632106,2.9935824632106,2.9935824632106,2.9731819014471514,3.0774256579349086,2.0,2.0,3.9935824632106,3.0,3.0,0.9935824632106001,0.9935824632106001
三体 II：黑暗森林,novel_book,2999,2999,2999,2999,278220,1.0,1.0,1.0,2.9901516785277837,2.9901516785277837,2.9901516785277837,2.9696858601107037,3.0730105671770542,2.0,2.0,3.9901516785277837,3.0,3.0,0.9901516785277837,0.9901516785277837
三体 III：死神永生,novel_book,3070,3042,3042,3042,326140,0.9996780523701478,0.9996780523701478,0.9996780523701478,3.0099989264956215,3.0099989264956215,3.0099989264956215,2.9896483506372014,3.0871900256107474,2.0,2.0,4.009998926495621,3.0,3.0,1.0099989264956215,1.0099989264956215
福尔摩斯探案全集图注本套装共9册,novel_book,4174,4161,4161,4161,1613101,0.9999807823564675,0.9999807823564675,0.9999807823564675,2.8878728139510375,2.8878728139510375,2.8878728139510375,2.8691141735944505,2.967364714488522,2.0,2.0,3.8878728139510375,3.0,3.0,0.8878728139510375,0.8878728139510375
