对象,全拼平均击键,微软双拼平均击键,小鹤双拼平均击键,微软节省键数_每字,小鹤节省键数_每字,微软节省比例,小鹤节省比例,有效字频覆盖率
Junda,2.979718745065504,2.0,2.0,0.979718745065504,0.979718745065504,0.32879571157108206,0.32879571157108206,0.9999988992476632
三体,2.9993086162559814,2.0,2.0,0.9993086162559814,0.9993086162559814,0.3331796570849092,0.3331796570849092,0.9998607010253446
福尔摩斯,2.8878728139510375,2.0,2.0,0.8878728139510375,0.8878728139510375,0.3074487247713295,0.3074487247713295,0.9999807823564675
